Date,Miles,MilesDiff,Price,Gallons,Total,MPG
21-Dec,59955,179,3.059,5.846,17.88,30.619
22-Dec,60205,250,3.289,8.208,27,30.458
10-Jan,60440,235,3.509,9.139,32.07,25.714
10-Jan,60683,243,3.339,8.386,28,28.977
14-Jan,61001,318,3.149,10.921,34.39,29.118
28-Jan,61253,252,3.099,10.071,31.21,25.022
24-Feb,61593,340,3.259,12.279,40.02,27.69
13-Mar,61825,232,3.229,10.775,34.79,21.531
22-Mar,61974,149,3.279,6.115,20.05,24.366
25-Mar,62299,325,3.359,11.186,37.57,29.054
25-Mar,62617,318,3.299,11.324,37.36,28.082
26-Mar,62945,328,3.359,10.911,36.65,30.061
26-Mar,63272,327,3.299,11.777,38.85,27.766
27-Mar,63528,256,3.499,8.267,28.93,30.966
27-Mar,63715,187,3.199,7.348,23.51,25.449
30-Mar,64084,369,3.299,12.845,42.38,28.727
11-Apr,64416,332,3.299,12.033,39.7,27.591
13-Apr,64756,340,3.459,11.483,39.72,29.609
18-Apr,65012,256,3.459,8.794,30.42,29.111
21-Apr,65360,348,3.359,11.792,39.61,29.512
6-May,65667,307,3.339,11.468,38.29,26.77
19-May,66021,354,3.339,12.551,41.91,28.205
30-May,66263,242,3.459,8.67,29.99,27.912
2-Jun,66610,347,3.339,12.051,40.24,28.794
6-Jun,66850,240,3.459,8.667,29.98,27.691
11-Jun,67188,338,3.339,11.549,38.56,29.267
20-Jun,67390,202,3.339,8,26.71,25.25
22-Jun,67695,305,3.459,10.481,36.25,29.1
23-Jun,67924,229,3.479,8.824,30.7,25.952
10-Jul,68243,319,3.399,12.36,42.01,25.809
13-Jul,68514,271,3.499,9.526,33.33,28.448
16-Jul,68792,278,3.339,11.028,36.82,25.209
23-Jul,69132,340,3.359,12.583,42.27,27.021
27-Jul,69407,275,3.459,9.277,32.09,29.643
2-Aug,69729,322,3.259,12.31,40.12,26.158
28-Aug,70033,304,3.159,10.927,34.52,27.821
1-Sep,70398,365,3.159,12.357,39.04,29.538
12-Sep,70676,278,3.119,11.096,34.61,25.054
19-Sep,70945,269,3.059,9.646,29.51,27.887
28-Sep,71201,256,3.319,9.736,32.32,26.294
3-Oct,71527,326,3.039,11.898,36.16,27.4
10-Oct,71678,151,2.959,5.999,17.75,25.171
12-Oct,71973,295,2.999,10.335,30.99,28.544
13-Oct,72299,326,2.959,11.492,34,28.368
17-Oct,72566,267,2.999,9.007,27.01,29.644
25-Oct,72849,283,2.779,10.744,29.86,26.34
20-Nov,73034,185,2.499,7.691,19.22,24.054
26-Nov,73337,303,2.559,11.025,28.21,27.483
29-Nov,73532,195,2.559,7.818,20.01,24.942
7-Dec,73830,298,2.399,12.999,31.18,22.925
19-Dec,74041,211,2.059,6.795,13.99,31.052
28-Dec,74282,241,2.059,9.172,18.89,26.276
30-Dec,74617,335,1.869,11.814,22.08,28.356
1-Jan,74835,218,1.699,8.39,14.25,25.983
4-Jan,75165,330,2.199,12.092,26.59,27.291
9-Jan,75490,325,1.799,12.336,22.19,26.346
11-Jan,75723,233,1.839,8.701,16,26.779
25-Jan,76031,308,1.799,11.999,21.59,25.669
8-Feb,76341,310,1.959,10.802,21.16,28.698
12-Feb,76659,318,2.149,9.768,20.99,32.555
16-Feb,76973,314,2.059,11.095,22.84,28.301
24-Feb,77312,339,2.079,11.86,24.66,28.583
1-Mar,77618,306,2.249,11.458,25.77,26.706
6-Mar,77808,190,2.359,6.832,16.12,27.81
8-Mar,78136,328,2.159,11.137,24.04,29.451
13-Mar,78465,329,2.199,11.028,24.25,29.833
15-Mar,78724,259,2.099,9.042,18.98,28.644
23-Mar,79003,279,2.199,10.609,23.33,26.298
9-Apr,79310,307,2.119,11.833,25.07,25.944
7-May,79589,279,2.359,10.549,24.89,26.448
2-Jun,79923,334,2.389,12.145,29.01,27.501
20-Jun,80174,251,2.519,10.601,26.7,23.677
28-Jun,80479,305,2.499,10.583,26.45,28.82
3-Jul,80765,286,2.459,10.5,25.82,27.238
5-Jul,81024,259,2.499,9.612,24.02,26.945
11-Jul,81319,295,2.479,11.999,29.75,24.585
24-Jul,81663,344,2.379,11.902,28.31,28.903
31-Jul,82020,357,2.499,13.014,32.52,27.432
2-Aug,82249,229,2.299,8.311,19.11,27.554
18-Aug,82463,214,2.299,8.002,18.4,26.743
28-Aug,82701,238,2.139,9.393,20.09,25.338
4-Sep,82880,179,2.099,6.702,14.07,26.708
7-Sep,83122,242,2.079,8.651,17.99,27.974
13-Sep,83423,301,1.999,10.705,21.4,28.118
19-Sep,83709,286,2.029,10.845,22,26.372
8-Oct,84037,328,1.999,13.007,26,25.217
11-Oct,84310,273,2.099,9.408,19.75,29.018
14-Oct,84617,307,1.999,11.558,23.1,26.562
23-Oct,84935,318,1.929,11.668,22.51,27.254
12-Nov,85275,340,1.939,12.56,24.35,27.07
22-Nov,85507,232,1.859,9.146,17,25.366
29-Nov,85832,325,1.699,11.36,19.3,28.609
5-Dec,86171,339,1.749,12.18,21.3,27.833
17-Dec,86465,294,1.699,10.631,18.06,27.655
20-Dec,86747,282,1.599,9.875,15.79,28.557
6-Jan,87053,306,1.679,11.046,18.55,27.702
15-Jan,87255,202,1.599,7.58,12.12,26.649
22-Jan,87609,354,1.559,12.183,18.99,29.057
24-Jan,87835,226,1.559,7.814,12.18,28.922
30-Jan,88183,348,1.529,12.18,18.62,28.571
8-Feb,88509,326,1.479,11.684,17.28,27.901
13-Feb,88779,270,1.359,9.503,12.91,28.412
15-Feb,88967,188,1.359,6.403,8.7,29.361
24-Feb,89312,345,1.429,12.113,17.31,28.482
5-Mar,89638,326,1.599,11.377,18.19,28.654
8-Mar,89882,244,1.499,8.589,12.87,28.408
1-Apr,90145,263,1.799,10.047,18.07,26.177
3-Apr,90489,344,1.769,11.302,19.99,30.437
10-Apr,90767,278,1.619,10.561,17.1,26.323
21-Apr,91106,339,1.789,11.775,21.07,28.79
24-May,91413,307,1.959,12.098,23.7,25.376
3-Jun,91774,361,2.159,12.681,27.38,28.468
10-Jun,92154,380,2.099,13.147,27.6,28.904
15-Jun,92285,131,2.099,5.66,11.88,23.145
15-Jun,92553,268,2.199,9.287,20.42,28.858
16-Jun,92900,347,2.189,12.035,26.34,28.833
17-Jun,93269,369,2.199,12.125,26.66,30.433
18-Jun,93619,350,2.409,10.391,25.03,33.683
19-Jun,93882,263,2.299,9.133,21,28.797
20-Jun,94243,361,2.249,12.352,27.78,29.226
20-Jun,94607,364,2.239,13.002,29.11,27.996
21-Jun,94968,361,2.299,11.656,26.8,30.971
23-Jun,95265,297,2.289,9.643,22.07,30.8
25-Jun,95455,190,2.179,6.659,14.51,28.533
25-Jun,95711,256,2.359,8.152,19.23,31.403
25-Jun,96075,364,2.359,11.266,26.58,32.31
15-Jul,96394,319,2.419,11.339,27.43,28.133
25-Jul,96777,383,2.459,13.09,32.19,29.259
27-Jul,97137,360,1.819,12.13,22.06,29.678
12-Aug,97467,330,2.039,11.64,23.73,28.351
22-Aug,97757,290,2.099,10.482,22,27.666
3-Sep,98097,340,2.059,12.847,26.45,26.465
9-Sep,98317,220,1.979,8.722,17.26,25.224
18-Sep,98674,357,2.119,11.999,25.43,29.752
29-Sep,98980,306,1.899,5.265,10,58.12
4-Oct,99117,137,1.599,11.806,18.88,11.604
15-Oct,99432,315,2.039,11.063,22.56,28.473
28-Oct,99766,334,1.969,13.216,26.02,25.272
7-Nov,100126,360,2.139,12.488,26.71,28.828
15-Nov,100405,279,1.819,10.447,19,26.706
23-Nov,100746,341,2.289,12.542,28.71,27.189
23-Nov,101020,274,2.339,9.687,22.66,28.285
27-Nov,101350,330,2.239,11.612,26,28.419
27-Nov,101673,323,2.099,10.506,22.05,30.744
4-Dec,101990,317,2.079,12.313,25.6,25.745
13-Dec,102288,298,1.659,11.724,19.45,25.418
13-Dec,102604,316,2.359,11.31,26.68,27.94
22-Dec,102859,255,2.239,9.527,21.33,26.766
23-Dec,103151,292,2.399,9.704,23.28,30.091
23-Dec,103467,316,2.399,10.108,24.25,31.262
1-Jan,103756,289,2.499,10.246,25.6,28.206
1-Jan,103945,189,2.459,7.976,19.61,23.696
3-Jan,104268,323,2.219,10.562,23.44,30.581
11-Jan,104548,280,2.099,11.74,24.64,23.85
18-Jan,104869,321,1.979,11.772,23.3,27.268
13-Feb,105150,281,2.159,9.978,21.54,28.162
27-Feb,105468,318,1.399,12.48,17.46,25.481
8-Mar,105786,318,2.089,11.25,23.5,28.267
20-Mar,106081,295,2.179,12,26.15,24.583
31-Mar,106404,323,2.379,11.555,27.49,27.953
11-Apr,106743,339,2.319,12.437,28.84,27.257
24-Apr,107103,360,2.399,12.507,30,28.784
3-May,107451,348,2.059,11.113,22.88,31.315
14-May,107776,325,2.339,11.968,27.99,27.156
24-May,108083,307,2.339,11.54,26.99,26.603
25-May,108436,353,2.059,11.007,22.66,32.071
29-May,108836,400,1.959,12.257,24.01,32.634
6-Jun,109187,351,2.319,12.003,27.83,29.243
14-Jun,109489,302,1.969,11.102,21.86,27.202
21-Jun,109818,329,2.299,11.797,27.12,27.888
30-Jun,110116,298,2.059,11.008,22.67,27.071
1-Jul,110508,392,2.429,11.964,29.06,32.765
8-Jul,110896,388,2.369,12.52,29.66,30.99
8-Jul,111157,261,2.359,7.518,17.73,34.717
12-Jul,111494,337,1.749,11.971,20.94,28.151
22-Jul,111772,278,2.249,10.255,23.06,27.109
26-Jul,112108,336,1.909,12.035,22.97,27.919
6-Aug,112442,334,2.059,11.878,24.46,28.119
18-Aug,113131,689,2.099,11.443,24.02,60.211
26-Aug,113452,321,2.399,11.345,27.22,28.294
6-Sep,113784,332,2.409,11.765,28.34,28.219
20-Sep,114114,330,1.829,12.985,23.75,25.414
3-Oct,114471,357,2.239,12.018,26.91,29.705
15-Oct,114816,345,2.049,13.003,26.64,26.532
28-Oct,115135,319,2.499,12.059,30.14,26.453
2-Nov,115440,305,2.699,11.003,29.7,27.72
2-Nov,115720,280,2.499,9.909,24.76,28.257
5-Nov,116041,321,2.399,10.744,25.77,29.877
5-Nov,116370,329,2.659,10.872,28.91,30.261
11-Nov,116614,244,2.389,8.117,19.39,30.06
18-Nov,116950,336,2.349,13.133,30.85,25.584
18-Nov,117315,365,2.659,11.611,30.87,31.436
21-Nov,117503,188,2.479,6.325,15.68,29.723
23-Nov,117822,319,2.499,10.612,26.52,30.06
27-Nov,118136,314,2.679,11.871,31.8,26.451
28-Nov,118467,331,2.079,10.917,22.7,30.32
12-Dec,118773,306,2.179,12.038,26.23,25.42
22-Dec,119033,260,2.359,9.617,22.69,27.035
26-Dec,119377,344,2.569,12.235,31.43,28.116
30-Dec,119706,329,2.699,12.04,32.5,27.326
5-Jan,119994,288,2.239,11.634,26.05,24.755
16-Jan,120307,313,2.409,12.416,29.91,25.209
23-Jan,120614,307,2.599,11.172,29.04,27.479
30-Jan,120945,331,2.349,11.905,27.96,27.803
14-Feb,121241,296,2.149,11.519,24.75,25.697
25-Feb,121524,283,2.099,11.234,23.58,25.191
5-Mar,121852,328,2.219,12.197,27.07,26.892
13-Mar,122186,334,2.359,12.078,28.49,27.654
21-Mar,122514,328,2.459,11.678,28.72,28.087
30-Mar,122829,315,2.499,12.417,31.03,25.368
2-Apr,123191,362,2.449,11.482,28.12,31.528
6-Apr,123517,326,2.899,11.686,33.88,27.897
8-Apr,123842,325,2.619,11.053,28.95,29.404
9-Apr,124141,299,2.699,10.668,28.79,28.028
13-Apr,124507,366,2.429,11.962,29.06,30.597
22-Apr,124843,336,2.699,12.065,32.56,27.849
1-May,125149,306,2.659,10.74,28.56,28.492
2-May,125488,339,2.729,11.253,30.71,30.125
6-May,125713,225,2.729,9.183,25.06,24.502
6-May,126036,323,2.679,10.388,27.83,31.094
11-May,126425,389,2.629,12.596,33.11,30.883
11-May,126814,389,2.919,12.116,35.37,32.106
2-Jun,127110,296,3.029,10.085,30.55,29.351
3-Jun,127458,348,2.499,11.146,27.85,31.222
10-Jun,127733,275,2.879,9.272,26.69,29.659
19-Jun,128076,343,2.249,12.332,27.73,27.814
25-Jun,128352,276,2.359,9.867,23.28,27.972
3-Jul,128701,349,2.709,12.913,34.98,27.027
4-Jul,129036,335,2.629,12.372,32.53,27.077
4-Aug,129361,325,2.559,11.832,30.28,27.468
7-Sep,129719,358,2.959,12.233,36.2,29.265
12-Sep,129939,220,2.819,8.51,23.99,25.852
16-Sep,130135,196,2.739,7.111,19.48,27.563
12-Oct,130458,323,2.989,11.41,34.1,28.309
18-Oct,130706,248,2.699,9.83,26.53,25.229
1-Nov,131063,357,2.559,12.626,32.31,28.275
4-Nov,131442,379,2.599,12.825,33.33,29.552
14-Nov,131784,342,2.789,11.277,31.45,30.327
26-Nov,132050,266,2.489,10.45,26.01,25.455
22-Dec,132368,318,2.239,10.613,23.76,29.963
27-Dec,132660,292,2.369,10.532,24.95,27.725
27-Dec,132939,279,2.319,8.782,20.37,31.77
12-Jan,133302,363,2.439,12.266,29.92,29.594
19-Jan,133659,357,2.109,12.703,26.79,28.104
23-Mar,133886,227,2.599,9.229,23.99,24.596
29-Mar,134261,375,2.499,11.427,28.56,32.817
2-Apr,134609,348,2.689,12.003,32.28,28.993
25-Apr,134963,354,2.599,12.425,32.29,28.491
11-May,135311,348,2.699,7.41,20,46.964
8-Jun,135462,151,2.659,10.408,27.67,14.508
9-Jun,135749,287,2.659,9.561,25.42,30.018
30-Jun,136057,308,2.699,10.168,27.44,30.291
7-Jul,136374,317,2.719,10.115,27.5,31.34
7-Jul,136619,245,2.749,8.203,22.55,29.867
26-Jul,136855,236,2.729,10.585,28.89,22.296
21-Aug,137126,271,2.399,11.548,27.7,23.467
14-Sep,137365,239,2.569,11.535,29.63,20.72
29-Sep,137749,384,2.619,12.405,32.49,30.955
12-Oct,138129,380,2.299,12.625,29.02,30.099
15-Oct,138392,263,2.189,9.171,20.08,28.677
20-Oct,138762,370,2.199,12.136,26.69,30.488
27-Oct,139082,320,2.369,11.806,27.97,27.105
5-Nov,139437,355,2.689,12.274,33,28.923
1-Dec,139707,270,2.249,10.91,24.54,24.748
21-Dec,140015,308,2.669,11.497,30.69,26.79
29-Dec,140284,269,2.649,10.011,26.52,26.87
5-Jan,140666,382,2.379,12.86,30.59,29.705
